Date,AAPL,MSFT,SPY
2025-10-20,261.98602294921875,516.7899780273438,671.2999877929688
2025-10-21,262.5155029296875,517.6599731445312,671.2899780273438
2025-10-22,258.19970703125,520.5399780273438,667.7999877929688
2025-10-23,259.3285827636719,520.5599975585938,671.760009765625
2025-10-24,262.56549072265625,523.6099853515625,677.25
2025-10-27,268.5496520996094,531.52001953125,685.239990234375
2025-10-28,268.7394714355469,542.0700073242188,687.0599975585938
2025-10-29,269.4388122558594,541.5499877929688,687.3900146484375
2025-10-30,271.13714599609375,525.760009765625,679.8300170898438
2025-10-31,270.108154296875,517.8099975585938,682.0599975585938
2025-11-03,268.7894287109375,517.030029296875,683.3400268554688
2025-11-04,269.7784729003906,514.3300170898438,675.239990234375
2025-11-05,269.8783874511719,507.1600036621094,677.5800170898438
2025-11-06,269.50872802734375,497.1000061035156,670.3099975585938
2025-11-07,268.2099914550781,496.82000732421875,670.969970703125
2025-11-10,269.42999267578125,506.0,681.4400024414062
2025-11-11,275.25,508.67999267578125,683.0
2025-11-12,273.4700012207031,511.1400146484375,683.3800048828125
2025-11-13,272.95001220703125,503.2900085449219,672.0399780273438
2025-11-14,272.4100036621094,510.17999267578125,671.9299926757812
2025-11-17,267.4599914550781,507.489990234375,665.6699829101562
2025-11-18,267.44000244140625,493.7900085449219,660.0800170898438
2025-11-19,270.0199890136719,485.8399963378906,662.25
